name,score
Intel Celeron N4020 @ 1.10GHz,1536
Intel Celeron N4020C @ 1.10GHz,1539
Intel Celeron N4100 @ 1.10GHz,2455
Intel Celeron N4120 @ 1.10GHz,2458
Intel Celeron N4500 @ 1.10GHz,1792
Intel Celeron N4505 @ 2.00GHz,2018
Intel Celeron N5095 @ 2.00GHz,4008
Intel Celeron N5095A @ 2.00GHz,4050
Intel Celeron N5100 @ 1.10GHz,3309
Intel Celeron N5105 @ 2.00GHz,3989
Intel Celeron N6210 @ 1.20GHz,1915
Intel Celeron N6211 @ 1.20GHz,2245
Intel Celeron P4500 @ 1.87GHz,878
Intel Celeron P4505 @ 1.87GHz,689
Intel Celeron P4600 @ 2.00GHz,893
Intel Celeron SU2300 @ 1.20GHz,458
Intel Celeron T1600 @ 1.66GHz,569
Intel Celeron T1700 @ 1.83GHz,600
Intel Celeron U1900 @ 1.99GHz,1028
Intel Celeron U3400 @ 1.07GHz,516
Intel Celeron U3405 @ 1.07GHz,446
Intel Celeron U3600 @ 1.20GHz,539
Intel Core 3 100HL,17586
Intel Core 3 100U,12632
Intel Core 3 201E,14839
Intel Core 3 N350,7353
Intel Core 3 N355,10363
Intel Core 330 @ 1.60GHz,419
Intel Core 5 120,21517
Intel Core 5 120F,21477
Intel Core 5 120U,15588
Intel Core 5 120UL,10558
Intel Core 5 210H,18425
Intel Core 5 211EF,23988
Intel Core 5 211TE,11685
Intel Core 5 213PE,27488
Intel Core 5 213PTE,25590
Intel Core 5 220H,21944
Intel Core 5 220U,14240
Intel Core 5 221E,32646
Intel Core 5 221TE,19513
Intel Core 5 223PE,32658
Intel Core 7 150U,14863
Intel Core 7 160UL,11043
Intel Core 7 240H,24599
Intel Core 7 250H,26554
Intel Core 7 250U,13806
Intel Core 7 251TE,30022
Intel Core 7 253PE,30478
Intel Core 860 @ 2.80GHz,2754
Intel Core 9 270H,29078
Intel Core 9 273PE,36810
Intel Core 9 273PQE,45606
Intel Core 9 273PTE,28887
Intel Core Duo L2300 @ 1.50GHz,387
Intel Core Duo L2400 @ 1.66GHz,348
Intel Core Duo L2500 @ 1.83GHz,404
Intel Core Duo T2050 @ 1.60GHz,333
Intel Core Duo T2250 @ 1.73GHz,350
Intel Core Duo T2300 @ 1.66GHz,325
Intel Core Duo T2350 @ 1.86GHz,385
Intel Core Duo T2400 @ 1.83GHz,366
Intel Core Duo T2450 @ 2.00GHz,411
Intel Core Duo T2500 @ 2.00GHz,408
Intel Core Duo T2600 @ 2.16GHz,460
Intel Core Duo T2700 @ 2.33GHz,498
Intel Core Duo U2400 @ 1.06GHz,255
Intel Core Duo U2500 @ 1.20GHz,223
Intel Core i3-1000NG4 @ 1.10GHz,3520
Intel Core i3-1005G1 @ 1.20GHz,4805
Intel Core i3-10100 @ 3.60GHz,8512
Intel Core i3-10100E @ 3.20GHz,7816
Intel Core i3-10100F @ 3.60GHz,8720
Intel Core i3-10100T @ 3.00GHz,7320
Intel Core i3-10100TE @ 2.30GHz,6371
Intel Core i3-10100Y @ 1.30GHz,2990
Intel Core i3-10105 @ 3.70GHz,8262
Intel Core i3-10105F @ 3.70GHz,8883
Intel Core i3-10105T @ 3.00GHz,7760
Intel Core i3-10110U @ 2.10GHz,3823
Intel Core i3-10110Y @ 1.00GHz,3106
Intel Core i3-1025G1 @ 1.20GHz,6122
Intel Core i3-10300 @ 3.70GHz,9290
Intel Core i3-10300T @ 3.00GHz,7868
Intel Core i3-10305 @ 3.80GHz,9210
Intel Core i3-10305T @ 3.00GHz,8512
Intel Core i3-10320 @ 3.80GHz,9988
Intel Core i3-10325 @ 3.90GHz,10291
Intel Core i3-11100B @ 3.60GHz,11357
Intel Core i3-11100HE @ 2.40GHz,11781
Intel Core i3-1110G4 @ 1.80GHz,4138
Intel Core i3-1115G4 @ 3.00GHz,5839
Intel Core i3-1115G4E @ 3.00GHz,5258
Intel Core i3-1115GRE @ 3.00GHz,4588
Intel Core i3-1125G4 @ 2.00GHz,9269
Intel Core i3-12100,12419
Intel Core i3-12100E,13599
Intel Core i3-12100F,13974
Intel Core i3-12100T,12343
Intel Core i3-12100TE,10511
Intel Core i3-1210U,9525
Intel Core i3-1215U,10217
Intel Core i3-1215UE,8331
Intel Core i3-1215UL,7817
Intel Core i3-1220P,15669
Intel Core i3-1220PE,16146
Intel Core i3-12300,14342
Intel Core i3-12300HL,20321
Intel Core i3-12300T,13062
Intel Core i3-1305U,8573
Intel Core i3-13100,14086
Intel Core i3-13100E,13727
Intel Core i3-13100F,14666
Intel Core i3-13100T,12737
Intel Core i3-13100TE,11248
Intel Core i3-1315U,11198
Intel Core i3-1315UE,9283
Intel Core i3-1315URE,8310
Intel Core i3-1320PE,11849
Intel Core i3-1320PRE,17759
Intel Core i3-13300HE,21057
Intel Core i3-14100,15129
Intel Core i3-14100F,15406
Intel Core i3-14100T,13692
Intel Core i3-2100 @ 3.10GHz,1863
Intel Core i3-2100T @ 2.50GHz,1542
Intel Core i3-2102 @ 3.10GHz,2029
Intel Core i3-2105 @ 3.10GHz,1800
Intel Core i3-21050 @ 3.10GHz,2193
Intel Core i3-2120 @ 3.30GHz,1977
Intel Core i3-2120T @ 2.60GHz,1573
Intel Core i3-2125 @ 3.30GHz,2083
Intel Core i3-2130 @ 3.40GHz,2068
Intel Core i3-2140 @ 3.50GHz,2307
Intel Core i3-2310E @ 2.10GHz,1845
Intel Core i3-2310M @ 2.10GHz,1221
Intel Core i3-2312M @ 2.10GHz,1189
Intel Core i3-2328M @ 2.20GHz,1229
Intel Core i3-2330E @ 2.20GHz,1823
Intel Core i3-2330M @ 2.20GHz,1251
Intel Core i3-2332M @ 2.20GHz,1353
Intel Core i3-2340UE @ 1.30GHz,976
Intel Core i3-2348M @ 2.30GHz,1286
Intel Core i3-2350M @ 2.30GHz,1273
Intel Core i3-2357M @ 1.30GHz,788
Intel Core i3-2365M @ 1.40GHz,812
Intel Core i3-2367M @ 1.40GHz,851
Intel Core i3-2370M @ 2.40GHz,1374
Intel Core i3-2375M @ 1.50GHz,892
Intel Core i3-2377M @ 1.50GHz,876
Intel Core i3-3110M @ 2.40GHz,1653
Intel Core i3-3120M @ 2.50GHz,1714
Intel Core i3-3130M @ 2.60GHz,1906
Intel Core i3-3210 @ 3.20GHz,2225
Intel Core i3-3217U @ 1.80GHz,1227
Intel Core i3-3217UE @ 1.60GHz,1362
Intel Core i3-3220 @ 3.30GHz,2277
Intel Core i3-3220T @ 2.80GHz,1953
Intel Core i3-3225 @ 3.30GHz,2280
Intel Core i3-3227U @ 1.90GHz,1301
Intel Core i3-3229Y @ 1.40GHz,1014
Intel Core i3-3240 @ 3.40GHz,2354
Intel Core i3-3240T @ 2.90GHz,2085
Intel Core i3-3245 @ 3.40GHz,2419
Intel Core i3-3250 @ 3.50GHz,2452
Intel Core i3-3250T @ 3.00GHz,2650
Intel Core i3-330E @ 2.13GHz,1260
Intel Core i3-330M @ 2.13GHz,1030
Intel Core i3-330UM @ 1.20GHz,543
Intel Core i3-350M @ 2.27GHz,1091
Intel Core i3-370M @ 2.40GHz,1172
Intel Core i3-380M @ 2.53GHz,1208
Intel Core i3-380UM @ 1.33GHz,733
Intel Core i3-390M @ 2.67GHz,1289
Intel Core i3-4000M @ 2.40GHz,1803
