name,brand,family,model,vram_gb,base_ghz,boost_ghz
NVIDIA GeForce GTX 1660 Super,NVIDIA,GeForce GTX,1660 Super,6,1.53,1.78
AMD Radeon HD 7850,AMD,Radeon HD,7850,2,0.86,0.86
