name,brand,family,model,vram_gb,base_ghz,boost_ghz,release_year,process_nm,directx,opengl,shader_model,architecture,bus_interface,memory_type
MSI SUPRIM,,,MSI SUPRIM,8.0,1575.0,1845.0,,,,,,,,
NVIDIA Star Wars Galactic Empire,NVIDIA,,Star Wars Galactic Empire,12.0,1481.0,1582.0,,,,,,,,
AMD FirePro W9100,AMD,,FirePro W9100,16.0,930.0,,,,,,,,,
Asus STRIX OC,,,Asus STRIX OC,8.0,1500.0,1935.0,,,,,,,,
EVGA Superclocked,,,EVGA Superclocked,2.0,1152.0,1342.0,,,,,,,,
Asus ROG-STRIX-RTX3080-O10G-GUNDAM,,,Asus ROG-STRIX-RTX3080-O10G-GUNDAM,10.0,1440.0,1935.0,,,,,,,,
Zotac ZT-90101-10P,,,Zotac ZT-90101-10P,4.0,1076.0,1216.0,,,,,,,,
Zotac ZT-T20700A-10P,,,Zotac ZT-T20700A-10P,8.0,1410.0,1620.0,,,,,,,,
MSI SUPRIM LIQUID,,,MSI SUPRIM LIQUID,24.0,2235.0,2610.0,,,,,,,,
EVGA 01G-P3-2616-KR,,,EVGA 01G-P3-2616-KR,1.0,,,,,,,,,,
Zotac AMP Core,,,Zotac AMP Core,4.0,1410.0,1650.0,,,,,,,,
Asus ROG-STRIX-GTX1080-O8G-11GBPS,,,Asus ROG-STRIX-GTX1080-O8G-11GBPS,8.0,1721.0,1860.0,,,,,,,,
Asus TUF Gaming X3 EVO OC,,,Asus TUF Gaming X3 EVO OC,6.0,1247.0,1770.0,,,,,,,,
MSI RTX 5060 Ti 16G INSPIRE 2X,,,MSI RTX 5060 Ti 16G INSPIRE 2X,16.0,2410.0,2587.0,,,,,,,,
NVIDIA 900-1G500-2500-000,NVIDIA,,900-1G500-2500-000,12.0,1200.0,1455.0,,,,,,,,
MSI ARMOR MK2 OC,,,MSI ARMOR MK2 OC,8.0,1340.0,1380.0,,,,,,,,
PNY VCQ420NVS-X1-DVI-PB,,,PNY VCQ420NVS-X1-DVI-PB,0.5,,,,,,,,,,
EVGA ACX 3.0,,,EVGA ACX 3.0,8.0,1506.0,1683.0,,,,,,,,
EVGA FTW3 ULTRA HYBRID GAMING iCX3,,,EVGA FTW3 ULTRA HYBRID GAMING iCX3,12.0,1365.0,1800.0,,,,,,,,
EVGA 04G-P4-2980-KR,,,EVGA 04G-P4-2980-KR,4.0,1126.0,1216.0,,,,,,,,
MSI EVOKE OC,,,MSI EVOKE OC,8.0,1690.0,1945.0,,,,,,,,
Gigabyte GAMING OC 3X WHITE,,,Gigabyte GAMING OC 3X WHITE,8.0,1650.0,1815.0,,,,,,,,
XFX DD Ultra,,,XFX DD Ultra,8.0,1565.0,1750.0,,,,,,,,
MSI RTX 4060 Ti 8G GAMING SLIM MONSTER HUNTER EDITION,,,MSI RTX 4060 Ti 8G GAMING SLIM MONSTER HUNTER EDITION,8.0,2310.0,2550.0,,,,,,,,
PNY VCQP2200-SB,,,PNY VCQP2200-SB,5.0,1000.0,1493.0,,,,,,,,
PNY VCQM6000-24GB-PB,,,PNY VCQM6000-24GB-PB,24.0,988.0,1114.0,,,,,,,,
MSI D6 VENTUS XS OC,,,MSI D6 VENTUS XS OC,4.0,1410.0,1620.0,,,,,,,,
MSI VENTUS 3X 8GD6X OC,,,MSI VENTUS 3X 8GD6X OC,8.0,1410.0,1695.0,,,,,,,,
EVGA FTW ULTRA SILENT GAMING,,,EVGA FTW ULTRA SILENT GAMING,8.0,1607.0,1683.0,,,,,,,,
MSI Radeon RX 5500 XT MECH 4G OC,,,MSI Radeon RX 5500 XT MECH 4G OC,4.0,1647.0,1845.0,,,,,,,,
PowerColor AXRX 560 4GBD5-DHA,,,PowerColor AXRX 560 4GBD5-DHA,4.0,115.0,1176.0,,,,,,,,
MSI MECH,,,MSI MECH,8.0,1605.0,1905.0,,,,,,,,
Gigabyte GV-R57XTGAMING OC-8GD REV2.0,,,Gigabyte GV-R57XTGAMING OC-8GD REV2.0,8.0,1650.0,1795.0,,,,,,,,
MSI GeForce RTX 3070 SUPRIM 8G,,,MSI GeForce RTX 3070 SUPRIM 8G,8.0,1500.0,1845.0,,,,,,,,
Asus KO OC,,,Asus KO OC,8.0,1410.0,1785.0,,,,,,,,
Asus RX6800XT-16G,,,Asus RX6800XT-16G,16.0,1825.0,2250.0,,,,,,,,
AMD 100-300000069,AMD,,100-300000069,24.0,2300.0,2500.0,,,,,,,,
GALAX EX (1-Click OC),,,GALAX EX (1-Click OC),8.0,1830.0,2580.0,,,,,,,,
ASRock Radeon RX 7900 XT 20GB,,,ASRock Radeon RX 7900 XT 20GB,20.0,2000.0,2400.0,,,,,,,,
EVGA ACX,,,EVGA ACX,2.0,980.0,,,,,,,,,
Gigabyte GV-N960WF2OC-4GD,,,Gigabyte GV-N960WF2OC-4GD,4.0,1216.0,1279.0,,,,,,,,
Inno3D iChill X4,,,Inno3D iChill X4,8.0,1575.0,1830.0,,,,,,,,
Sapphire Toxic Extreme Edition,,,Sapphire Toxic Extreme Edition,16.0,1825.0,2525.0,,,,,,,,
Asus GT730-SL-2GD3-BRK,,,Asus GT730-SL-2GD3-BRK,2.0,902.0,,,,,,,,,
Zotac Blower,,,Zotac Blower,11.0,1480.0,1582.0,,,,,,,,
PowerColor AXRX 580 8GBD5-3DHDV2/OC,,,PowerColor AXRX 580 8GBD5-3DHDV2/OC,8.0,1257.0,1350.0,,,,,,,,
EVGA GeForce RTX 2060 SC Ultra GAMING,,,EVGA GeForce RTX 2060 SC Ultra GAMING,6.0,1365.0,1755.0,,,,,,,,
Asus RX5700XT-8G,,,Asus RX5700XT-8G,8.0,1605.0,1905.0,,,,,,,,
ASRock Taichi X OC+,,,ASRock Taichi X OC+,8.0,1810.0,2025.0,,,,,,,,
PowerColor Hellhound Spectral White,,,PowerColor Hellhound Spectral White,8.0,2055.0,2689.0,,,,,,,,
Asus ROG STRIX LC GAMING OC,,,Asus ROG STRIX LC GAMING OC,24.0,2235.0,2640.0,,,,,,,,
HP J3G93AT,,,HP J3G93AT,8.0,920.0,,,,,,,,,
PNY XLR8 Gaming Overclocked Edition,,,PNY XLR8 Gaming Overclocked Edition,8.0,1410.0,1710.0,,,,,,,,
EVGA FTW+ GAMING,,,EVGA FTW+ GAMING,6.0,1632.0,1860.0,,,,,,,,
PowerColor Low Profile,,,PowerColor Low Profile,4.0,1923.0,,,,,,,,,
Asus DUAL Advanced,,,Asus DUAL Advanced,16.0,2310.0,2580.0,,,,,,,,
MSI RX 580 8G V1,,,MSI RX 580 8G V1,8.0,1257.0,1340.0,,,,,,,,
Asus AREZ Dual OC,,,Asus AREZ Dual OC,8.0,1257.0,1380.0,,,,,,,,
GALAX EX Gamer 1-Click OC V2,,,GALAX EX Gamer 1-Click OC V2,12.0,2310.0,2670.0,,,,,,,,
PNY VCQK6000-PB,,,PNY VCQK6000-PB,12.0,902.0,,,,,,,,,
MSI GT LP OC,,,MSI GT LP OC,4.0,1485.0,1695.0,,,,,,,,
Asus DUAL EVO OC V2,,,Asus DUAL EVO OC V2,8.0,1470.0,1725.0,,,,,,,,
GALAX SG (1-Click OC),,,GALAX SG (1-Click OC),24.0,2235.0,2595.0,,,,,,,,
MSI AERO ITX 2GD4 OC,,,MSI AERO ITX 2GD4 OC,2.0,1189.0,1430.0,,,,,,,,
Asus 210-SL-512MD3-L,,,Asus 210-SL-512MD3-L,0.5,589.0,,,,,,,,,
Asus RX5700-8G,,,Asus RX5700-8G,8.0,1465.0,1725.0,,,,,,,,
MSI VENTUS 3X E1 OC,,,MSI VENTUS 3X E1 OC,12.0,1920.0,2520.0,,,,,,,,
XFX RX-VEGMA3FD6,,,XFX RX-VEGMA3FD6,16.0,1400.0,1801.0,,,,,,,,
Inno3D iChill X3,,,Inno3D iChill X3,24.0,2235.0,2580.0,,,,,,,,
NVIDIA 900-1G600-2500-00,NVIDIA,,900-1G600-2500-00,12.0,1000.0,1075.0,,,,,,,,
MSI GAMING GE,,,MSI GAMING GE,6.0,1000.0,1291.0,,,,,,,,
KFA2 EX,,,KFA2 EX,8.0,1605.0,1830.0,,,,,,,,
EVGA SC Ultra Black,,,EVGA SC Ultra Black,6.0,1530.0,1785.0,,,,,,,,
MSI VENTUS GP,,,MSI VENTUS GP,8.0,1410.0,1620.0,,,,,,,,
MSI GeForce RTX 3080 VENTUS 3X 10G,,,MSI GeForce RTX 3080 VENTUS 3X 10G,10.0,1440.0,,,,,,,,,
Sapphire 21305-01-20G,,,Sapphire 21305-01-20G,16.0,1700.0,2105.0,,,,,,,,
KFA2 (1-Click OC),,,KFA2 (1-Click OC),16.0,2300.0,2640.0,,,,,,,,
PNY VCQ2000D-PB,,,PNY VCQ2000D-PB,1.0,625.0,,,,,,,,,
XFX HD-467X-ZDFR,,,XFX HD-467X-ZDFR,1.0,750.0,,,,,,,,,
MSI Founders Edition,,,MSI Founders Edition,11.0,1480.0,1582.0,,,,,,,,
AMD 100-506163,AMD,,100-506163,16.0,1400.0,1700.0,,,,,,,,
Asus TUF-RTX3060-O12G-DEMONSLAYER,,,Asus TUF-RTX3060-O12G-DEMONSLAYER,12.0,1320.0,1882.0,,,,,,,,
Asus ROG-STRIX-LC-RX6900XT-T16G-GAMING,,,Asus ROG-STRIX-LC-RX6900XT-T16G-GAMING,16.0,1825.0,2525.0,,,,,,,,
Asus GT710-SL-2GD5,,,Asus GT710-SL-2GD5,2.0,954.0,,,,,,,,,
ATI 100-505588,,,ATI 100-505588,0.5,,,,,,,,,,
Zotac AMP Extreme Core,,,Zotac AMP Extreme Core,11.0,1607.0,1721.0,,,,,,,,
Sapphire 21293-01-40G,,,Sapphire 21293-01-40G,8.0,1605.0,1905.0,,,,,,,,
XFX THICC II Ultra,,,XFX THICC II Ultra,8.0,1730.0,1980.0,,,,,,,,
MSI Radeon RX 570 ARMOR 4G OCV1,,,MSI Radeon RX 570 ARMOR 4G OCV1,4.0,1168.0,1268.0,,,,,,,,
GALAX OC V2,,,GALAX OC V2,8.0,1470.0,1680.0,,,,,,,,
PowerColor Hellhound Sakura,,,PowerColor Hellhound Sakura,8.0,2055.0,2689.0,,,,,,,,
PNY VCGGT10302PB,,,PNY VCGGT10302PB,2.0,1227.0,1468.0,,,,,,,,
Inno3D Compact,,,Inno3D Compact,8.0,1830.0,2460.0,,,,,,,,
PNY VCQK1200DP-PB,,,PNY VCQK1200DP-PB,4.0,1058.0,1124.0,,,,,,,,
Gigabyte D6 Rev 2.0,,,Gigabyte D6 Rev 2.0,6.0,1365.0,1680.0,,,,,,,,
XFX RS,,,XFX RS,8.0,1120.0,1288.0,,,,,,,,
MSI Gaming X NV Edition,,,MSI Gaming X NV Edition,8.0,1830.0,2610.0,,,,,,,,
Sparkle OMNI View,,,Sparkle OMNI View,4.0,1000.0,,,,,,,,,
XFX R9-290X ENFC,,,XFX R9-290X ENFC,4.0,772.0,,,,,,,,,
Asus GTX950-2G,,,Asus GTX950-2G,2.0,1026.0,1228.0,,,,,,,,
Inno3D iChill X3 RED,,,Inno3D iChill X3 RED,8.0,1410.0,1725.0,,,,,,,,
Zotac ZT-50701-10M,,,Zotac ZT-50701-10M,1.0,820.0,,,,,,,,,
Sapphire Tri-X,,,Sapphire Tri-X,4.0,1000.0,,,,,,,,,
PNY VCQK620-PB,,,PNY VCQK620-PB,2.0,1058.0,,,,,,,,,
PowerColor AXRX 5600XT 6GBD6-3DH/OC,,,PowerColor AXRX 5600XT 6GBD6-3DH/OC,6.0,1247.0,1620.0,,,,,,,,
Palit StormX OC,,,Palit StormX OC,4.0,1485.0,1725.0,,,,,,,,
XFX RX-68LMATFD8,,,XFX RX-68LMATFD8,16.0,1700.0,2105.0,,,,,,,,
PNY Triple Fan Plus,,,PNY Triple Fan Plus,16.0,2295.0,2452.0,,,,,,,,
PNY VCQK2200-PB,,,PNY VCQK2200-PB,4.0,1046.0,,,,,,,,,
EVGA 06G-P4-3790-KR,,,EVGA 06G-P4-3790-KR,6.0,889.0,980.0,,,,,,,,
EVGA 01G-P4-2650-KR,,,EVGA 01G-P4-2650-KR,1.0,1058.0,,,,,,,,,
Asus EAH6450 SILENT/DI/512MD3(LP),,,Asus EAH6450 SILENT/DI/512MD3(LP),0.5,625.0,,,,,,,,,
Gigabyte GV-N660OC-2GD,,,Gigabyte GV-N660OC-2GD,2.0,1033.0,,,,,,,,,
EVGA FTW ACX 2.0+,,,EVGA FTW ACX 2.0+,6.0,1190.0,1291.0,,,,,,,,
MSI AERO ITX,,,MSI AERO ITX,4.0,1196.0,1275.0,,,,,,,,
ASRock Phantom Gaming X,,,ASRock Phantom Gaming X,8.0,1257.0,1380.0,,,,,,,,
PNY VCG16504SSFPPB,,,PNY VCG16504SSFPPB,4.0,1530.0,1725.0,,,,,,,,
EVGA FTW3 GAMING iCX3,,,EVGA FTW3 GAMING iCX3,8.0,1410.0,1710.0,,,,,,,,
Inno3D GeForce RTX 3080 iCHILL X4,,,Inno3D GeForce RTX 3080 iCHILL X4,10.0,1440.0,1770.0,,,,,,,,
Asus R7240-2GD3-L,,,Asus R7240-2GD3-L,2.0,730.0,,,,,,,,,
MSI GeForce GTX 1060 6G OCV1,,,MSI GeForce GTX 1060 6G OCV1,6.0,1544.0,1759.0,,,,,,,,
Gigabyte GAMING OC V2,,,Gigabyte GAMING OC V2,12.0,1920.0,2565.0,,,,,,,,
MSI D3 LP,,,MSI D3 LP,2.0,954.0,,,,,,,,,
PNY EPIC-X RGB,,,PNY EPIC-X RGB,32.0,2010.0,2407.0,,,,,,,,
Asus GT610-2GD3-CSM,,,Asus GT610-2GD3-CSM,2.0,810.0,,,,,,,,,
EVGA 02G-P4-3677-KR,,,EVGA 02G-P4-3677-KR,2.0,1006.0,,,,,,,,,
EVGA Classified ACX 2.0+,,,EVGA Classified ACX 2.0+,6.0,1190.0,1291.0,,,,,,,,
PNY VCGGTX10708PB,,,PNY VCGGTX10708PB,8.0,1506.0,1683.0,,,,,,,,
Corsair CB-9060011-WW,,,Corsair CB-9060011-WW,11.0,1569.0,1683.0,,,,,,,,
MSI RX 6900 XT 16G,,,MSI RX 6900 XT 16G,16.0,1825.0,,,,,,,,,
EVGA FTW3 BLACK GAMING,,,EVGA FTW3 BLACK GAMING,24.0,1560.0,1860.0,,,,,,,,
Colorful iGame Neptune OC-V,,,Colorful iGame Neptune OC-V,24.0,2235.0,2640.0,,,,,,,,
PNY VCGGT620XPB,,,PNY VCGGT620XPB,1.0,700.0,,,,,,,,,
EVGA 01G-P3-1561-KR,,,EVGA 01G-P3-1561-KR,1.0,850.0,,,,,,,,,
Gainward Ghost OC,,,Gainward Ghost OC,8.0,2280.0,2535.0,,,,,,,,
EVGA 02G-P3-3733-KR,,,EVGA 02G-P3-3733-KR,2.0,902.0,,,,,,,,,
Gigabyte GV-R68XT-16GC-B,,,Gigabyte GV-R68XT-16GC-B,16.0,1825.0,2250.0,,,,,,,,
Asus rx7900xt-20g,,,Asus rx7900xt-20g,20.0,2000.0,2400.0,,,,,,,,
EVGA FTW ACX,,,EVGA FTW ACX,2.0,1189.0,1268.0,,,,,,,,
Gigabyte TURBO OC,,,Gigabyte TURBO OC,8.0,1657.0,1797.0,,,,,,,,
MSI GT 1030 2GH LP OC,,,MSI GT 1030 2GH LP OC,2.0,1265.0,1518.0,,,,,,,,
PNY XLR8,,,PNY XLR8,11.0,1506.0,1620.0,,,,,,,,
Gigabyte GeForce RTX 2060 GAMING OC PRO WHITE 6G,,,Gigabyte GeForce RTX 2060 GAMING OC PRO WHITE 6G,6.0,1680.0,1830.0,,,,,,,,
MSI ARMOR X,,,MSI ARMOR X,8.0,1257.0,1366.0,,,,,,,,
Sapphire 21304-01-20g,,,Sapphire 21304-01-20g,16.0,1825.0,2250.0,,,,,,,,
Sapphire 11321-03-20G,,,Sapphire 11321-03-20G,10.0,1941.0,2495.0,,,,,,,,
MSI RTX 5060 Ti 8G INSPIRE 2X OC,,,MSI RTX 5060 Ti 8G INSPIRE 2X OC,8.0,2410.0,2632.0,,,,,,,,
VisionTek 900614,,,VisionTek 900614,2.0,,,,,,,,,,
NVIDIA Star Wars Jedi Order,NVIDIA,,Star Wars Jedi Order,12.0,1481.0,1582.0,,,,,,,,
PNY VCQ4000-PB,,,PNY VCQ4000-PB,2.0,,,,,,,,,,
Sapphire NITRO+ PURE,,,Sapphire NITRO+ PURE,16.0,1890.0,2435.0,,,,,,,,
Gigabyte GV-N970IXOC-4GD,,,Gigabyte GV-N970IXOC-4GD,4.0,1076.0,1216.0,,,,,,,,
XFX Speedster MERC 319 Ultra,,,XFX Speedster MERC 319 Ultra,16.0,1925.0,2340.0,,,,,,,,
Asus ROG STRIX OC EVA,,,Asus ROG STRIX OC EVA,24.0,1395.0,1890.0,,,,,,,,
Asus Phoenix EVO,,,Asus Phoenix EVO,4.0,1100.0,1183.0,,,,,,,,
PNY VCGGTX10606PB,,,PNY VCGGTX10606PB,6.0,1506.0,1708.0,,,,,,,,
MSI AIR BOOST OC,,,MSI AIR BOOST OC,8.0,1181.0,1520.0,,,,,,,,
Zotac GAMING AMP Spider-Man: Across the Spider-Verse,,,Zotac GAMING AMP Spider-Man: Across the Spider-Verse,16.0,2310.0,2595.0,,,,,,,,
NVIDIA VCQK4000-PB,NVIDIA,,VCQK4000-PB,3.0,810.0,,,,,,,,,
Asus TURBO-GTX970-OC-4GD5,,,Asus TURBO-GTX970-OC-4GD5,4.0,1088.0,1228.0,,,,,,,,
Gigabyte GV-NX96T512H,,,Gigabyte GV-NX96T512H,0.5,650.0,,,,,,,,,
Asus Founders Edition,,,Asus Founders Edition,11.0,1480.0,1582.0,,,,,,,,
Gigabyte G1 ROCK,,,Gigabyte G1 ROCK,8.0,1607.0,1797.0,,,,,,,,
Gigabyte GV-R79XT-20GC-B,,,Gigabyte GV-R79XT-20GC-B,20.0,2000.0,2400.0,,,,,,,,
KFA2 HOF,,,KFA2 HOF,24.0,2235.0,2610.0,,,,,,,,
Asus RX6700XT-12G,,,Asus RX6700XT-12G,12.0,2321.0,2581.0,,,,,,,,
Asus TUF Gaming BTF,,,Asus TUF Gaming BTF,16.0,2300.0,2482.0,,,,,,,,
Yeston Sakura Atlantis,,,Yeston Sakura Atlantis,16.0,2400.0,3060.0,,,,,,,,
PowerColor Devil 13,,,PowerColor Devil 13,16.0,1000.0,,,,,,,,,
Lenovo 4X61J52234,,,Lenovo 4X61J52234,4.0,420.0,1425.0,,,,,,,,
Asus KO OC V2,,,Asus KO OC V2,12.0,1320.0,1882.0,,,,,,,,
EVGA 01G-P3-2710-KR,,,EVGA 01G-P3-2710-KR,1.0,954.0,,,,,,,,,
PNY VCQK420-2GB-PB,,,PNY VCQK420-2GB-PB,2.0,876.0,891.0,,,,,,,,
Galaxy 22TGE8HX2IUN,,,Galaxy 22TGE8HX2IUN,1.0,625.0,,,,,,,,,
Asus Expedition OC,,,Asus Expedition OC,4.0,1341.0,1455.0,,,,,,,,
MSI GeForce RTX 2080 Ti SEA HAWK X,,,MSI GeForce RTX 2080 Ti SEA HAWK X,11.0,1350.0,1755.0,,,,,,,,
XFX RX-67TMYDFD8,,,XFX RX-67TMYDFD8,12.0,2330.0,2615.0,,,,,,,,
Sapphire TOXIC Limited Edition,,,Sapphire TOXIC Limited Edition,16.0,1825.0,2600.0,,,,,,,,
XFX Speedster QICK 319 Ultra,,,XFX Speedster QICK 319 Ultra,12.0,2150.0,2623.0,,,,,,,,
Colorful NB-V,,,Colorful NB-V,6.0,1365.0,1680.0,,,,,,,,
MSI Radeon RX 6800XT 16G,,,MSI Radeon RX 6800XT 16G,16.0,1825.0,2250.0,,,,,,,,
Zotac GAMING OC Spider-Man: Across The Spider-Verse,,,Zotac GAMING OC Spider-Man: Across The Spider-Verse,8.0,1830.0,2475.0,,,,,,,,
MSI Radeon RX 6600 XT MECH 2X 8G OCV1,,,MSI Radeon RX 6600 XT MECH 2X 8G OCV1,8.0,1968.0,2602.0,,,,,,,,
PNY VCQK4000-PB,,,PNY VCQK4000-PB,3.0,810.0,,,,,,,,,
Zotac GAMING AMP Extreme Holo,,,Zotac GAMING AMP Extreme Holo,24.0,1395.0,1815.0,,,,,,,,
PNY VCG84512D3SPPB,,,PNY VCG84512D3SPPB,0.5,520.0,,,,,,,,,
EVGA Superclocked ACX,,,EVGA Superclocked ACX,3.0,967.0,,,,,,,,,
Gigabyte GV-N26SO-896I,,,Gigabyte GV-N26SO-896I,0.875,680.0,,,,,,,,,
MSI N750TI-2GD5/OC,,,MSI N750TI-2GD5/OC,2.0,1059.0,1137.0,,,,,,,,
MSI GTX 960 4GD5T OC,,,MSI GTX 960 4GD5T OC,4.0,1178.0,1241.0,,,,,,,,
PNY VCQP6000-PB,,,PNY VCQP6000-PB,24.0,1417.0,1531.0,,,,,,,,
Sapphire 21275-03-20G,,,Sapphire 21275-03-20G,8.0,1247.0,1546.0,,,,,,,,
Zotac GAMING OC MINI,,,Zotac GAMING OC MINI,8.0,1410.0,1650.0,,,,,,,,
VisionTek 901315,,,VisionTek 901315,4.0,1607.0,1845.0,,,,,,,,
PowerColor AXRX 6800XT 16GBD6-M2DHC,,,PowerColor AXRX 6800XT 16GBD6-M2DHC,16.0,1825.0,2250.0,,,,,,,,
MSI GAMING X TRIO 8GD6X,,,MSI GAMING X TRIO 8GD6X,8.0,1410.0,1845.0,,,,,,,,
Asus ROG Astral BTF,,,Asus ROG Astral BTF,32.0,2010.0,,,,,,,,,
PNY VCG50608DFXPB1,,,PNY VCG50608DFXPB1,8.0,2280.0,2497.0,,,,,,,,
Asus DUAL MINI V2,,,Asus DUAL MINI V2,8.0,1410.0,1695.0,,,,,,,,
EVGA 06G-P4-4990-KR,,,EVGA 06G-P4-4990-KR,6.0,1000.0,1076.0,,,,,,,,
MSI GeForce RTX 3070 Suprim X 8G LHR,,,MSI GeForce RTX 3070 Suprim X 8G LHR,8.0,1500.0,1920.0,,,,,,,,
Biostar VN3706RM82,,,Biostar VN3706RM82,8.0,1500.0,1725.0,,,,,,,,
Sapphire PULSE OC Lite,,,Sapphire PULSE OC Lite,8.0,1257.0,1350.0,,,,,,,,
EVGA 02G-P3-1559-KR,,,EVGA 02G-P3-1559-KR,2.0,900.0,,,,,,,,,
Asus GTX750-PHOC-2GD5,,,Asus GTX750-PHOC-2GD5,2.0,1059.0,1137.0,,,,,,,,
EVGA 01G-P3-1731-KR,,,EVGA 01G-P3-1731-KR,1.0,902.0,,,,,,,,,
EVGA 02G-P4-6333-KR,,,EVGA 02G-P4-6333-KR,2.0,1290.0,1544.0,,,,,,,,
EVGA iCX GAMING,,,EVGA iCX GAMING,11.0,1480.0,1582.0,,,,,,,,
PowerColor AXRX 5700XT 8GBD6-M3DH,,,PowerColor AXRX 5700XT 8GBD6-M3DH,8.0,1605.0,1905.0,,,,,,,,
Gainward Phantom Reunion,,,Gainward Phantom Reunion,12.0,2310.0,2610.0,,,,,,,,
KFA2 1-Click OC 2X,,,KFA2 1-Click OC 2X,8.0,1830.0,2490.0,,,,,,,,
Gainward Panther OC,,,Gainward Panther OC,16.0,2210.0,2580.0,,,,,,,,
XFX RX-79GMERCBR,,,XFX RX-79GMERCBR,16.0,1270.0,2395.0,,,,,,,,
MSI VANGUARD OC,,,MSI VANGUARD OC,16.0,2300.0,2580.0,,,,,,,,
PNY VCG50508SFXPB1,,,PNY VCG50508SFXPB1,8.0,2317.0,2572.0,,,,,,,,
EVGA SC2 Gaming iCX,,,EVGA SC2 Gaming iCX,8.0,1708.0,1847.0,,,,,,,,
PNY XLR8 Gaming UPRISING EPIC-X RGB,,,PNY XLR8 Gaming UPRISING EPIC-X RGB,12.0,1365.0,1665.0,,,,,,,,
Gigabyte GV-N460OC-1GI V3,,,Gigabyte GV-N460OC-1GI V3,1.0,788.0,,,,,,,,,
MSI GT 1030 2GD4 LP OC,,,MSI GT 1030 2GD4 LP OC,2.0,1189.0,1430.0,,,,,,,,
Palit GameRock OmniBlack,,,Palit GameRock OmniBlack,16.0,2205.0,2505.0,,,,,,,,
KFA2 EX (1-Click OC),,,KFA2 EX (1-Click OC),8.0,1830.0,2580.0,,,,,,,,
Zotac ZT-52FPC2N-HSL,,,Zotac ZT-52FPC2N-HSL,0.25,,,,,,,,,,
Asus GTX750TI-PH-2GD5,,,Asus GTX750TI-PH-2GD5,2.0,1020.0,1085.0,,,,,,,,
Asus TURBO-GTX960-OC-2GD5,,,Asus TURBO-GTX960-OC-2GD5,2.0,1190.0,1253.0,,,,,,,,
EVGA HYBRID,,,EVGA HYBRID,12.0,1152.0,1241.0,,,,,,,,
Gigabyte SOC,,,Gigabyte SOC,8.0,1000.0,1025.0,,,,,,,,
Gigabyte GV-N960OC-4GD,,,Gigabyte GV-N960OC-4GD,4.0,1216.0,1279.0,,,,,,,,
Gigabyte Founders Edition,,,Gigabyte Founders Edition,8.0,1506.0,1683.0,,,,,,,,
PowerColor AXRX 570 8GBD5-DM,,,PowerColor AXRX 570 8GBD5-DM,4.0,1105.0,1244.0,,,,,,,,
ASRock Radeon RX 5700 XT 8G,,,ASRock Radeon RX 5700 XT 8G,8.0,1605.0,1905.0,,,,,,,,
Sapphire 11256-57-21G,,,Sapphire 11256-57-21G,8.0,926.0,1206.0,,,,,,,,
MSI GeForce RTX 3080 GAMING TRIO 10G,,,MSI GeForce RTX 3080 GAMING TRIO 10G,10.0,1440.0,,,,,,,,,
Inno3D Gaming X3,,,Inno3D Gaming X3,24.0,1395.0,1695.0,,,,,,,,
PNY VCNRTXA1000LP-PB,,,PNY VCNRTXA1000LP-PB,8.0,,1460.0,,,,,,,,
PNY VCQK2000-PB,,,PNY VCQK2000-PB,2.0,,,,,,,,,,
Asus GTX680-DC2O-2GD5,,,Asus GTX680-DC2O-2GD5,2.0,1019.0,,,,,,,,,
EVGA 02G-P4-2662-KR,,,EVGA 02G-P4-2662-KR,2.0,1046.0,,,,,,,,,
MSI R7 250 2GD3 OC,,,MSI R7 250 2GD3 OC,2.0,1050.0,1100.0,,,,,,,,
MSI GTX 960 2GD5T OC,,,MSI GTX 960 2GD5T OC,2.0,1178.0,1241.0,,,,,,,,
EVGA FTW+ ACX 2.0+,,,EVGA FTW+ ACX 2.0+,4.0,1216.0,1367.0,,,,,,,,
MSI N730-4GD3V2,,,MSI N730-4GD3V2,4.0,700.0,,,,,,,,,
Gigabyte XTREME,,,Gigabyte XTREME,12.0,1165.0,1226.0,,,,,,,,
EVGA FTW DT GAMING ACX 3.0,,,EVGA FTW DT GAMING ACX 3.0,8.0,1506.0,1683.0,,,,,,,,
MSI RADEON RX 460 4G OC,,,MSI RADEON RX 460 4G OC,4.0,1090.0,1210.0,,,,,,,,
MSI GT 1030 2G LP OC,,,MSI GT 1030 2G LP OC,2.0,1265.0,1518.0,,,,,,,,
Gigabyte MINI ITX,,,Gigabyte MINI ITX,8.0,1607.0,1771.0,,,,,,,,
Zotac GAMING Triple Fan,,,Zotac GAMING Triple Fan,11.0,1350.0,1545.0,,,,,,,,
MSI D6 AERO ITX OC,,,MSI D6 AERO ITX OC,4.0,1410.0,1620.0,,,,,,,,
PowerColor AXRX 6700XT 12GBD6-M3DH,,,PowerColor AXRX 6700XT 12GBD6-M3DH,12.0,2321.0,2581.0,,,,,,,,
MSI GAMING TRIO PLUS,,,MSI GAMING TRIO PLUS,12.0,1260.0,1755.0,,,,,,,,
Gainward Pegasus OC,,,Gainward Pegasus OC,8.0,2310.0,2670.0,,,,,,,,
MSI VENTUS 3X OC LHR,,,MSI VENTUS 3X OC LHR,10.0,1440.0,1740.0,,,,,,,,
XFX PVT98GYAF3,,,XFX PVT98GYAF3,0.5,550.0,,,,,,,,,
HP 20X24AT,,,HP 20X24AT,16.0,735.0,1560.0,,,,,,,,
