name,brand,family,model,cores,threads,base_ghz,boost_ghz
AMD Ryzen 5 3600,AMD,Ryzen 5,3600,6,12,3.6,4.2
Intel Core i5-2500K,Intel,Core i5,2500K,4,4,3.3,3.7
