name,brand,family,model,cores,threads,base_ghz,boost_ghz
Core i5-14400F,,Raptor Lake-R,Core i5-14400F,10,16,2.5,4.7
Core i5-13420H,,Raptor Lake-H,Core i5-13420H,8,12,2.1,4.6
Core i7-7700K,,Kaby Lake,Core i7-7700K,4,8,4.2,4.5
Core i7-6700,,Skylake,Core i7-6700,4,8,3.4,4.0
Ryzen 5 PRO 5650U,,Cezanne-U,Ryzen 5 PRO 5650U,6,12,2.3,4.2
Ryzen 9 9950X,,Granite Ridge,Ryzen 9 9950X,16,32,4.3,5.7
Core Ultra 7 255H,,Arrow Lake-H,Core Ultra 7 255H,16,16,2.0,5.1
Core Ultra 9 275HX,,Arrow Lake-HX,Core Ultra 9 275HX,24,24,2.7,5.4
Core i7-4790,,Haswell,Core i7-4790,4,8,3.6,4.0
Core Ultra 7 265K,,Arrow Lake-S,Core Ultra 7 265K,20,20,3.9,5.5
Ryzen 7 7700,,Raphael,Ryzen 7 7700,8,16,3.8,5.3
Core i7-3770,,Ivy Bridge,Core i7-3770,4,8,3.4,3.9
Core Ultra X7 358H,,Panther Lake,Core Ultra X7 358H,16,16,1.9,4.8
Ryzen 5 PRO 3500U,,Picasso,Ryzen 5 PRO 3500U,4,8,2.1,3.7
Ryzen 5 7530U,,Barcelo-R,Ryzen 5 7530U,6,12,2.0,4.5
Core i7-4790K,,Haswell,Core i7-4790K,4,8,4.0,4.4
Ryzen 3 3100,,Matisse,Ryzen 3 3100,4,8,3.6,3.9
Ryzen 7 3800X,,Matisse,Ryzen 7 3800X,8,16,3.9,4.5
Ryzen 5 7600,,Raphael,Ryzen 5 7600,6,12,3.8,5.1
Core i5-1135G7,,Tiger Lake-U,Core i5-1135G7,4,8,1.5,4.2
Processor N150,,Twin Lake,Processor N150,4,4,0.1,3.6
Core i5-10400F,,Comet Lake,Core i5-10400F,6,12,2.9,4.3
Core i3-10100,,Comet Lake,Core i3-10100,4,8,3.6,4.3
Ryzen 7 9850X3D,,Granite Ridge,Ryzen 7 9850X3D,8,16,4.7,5.6
Processor N100,,Gracemont,Processor N100,4,4,0.1,3.4
Core i7-10700,,Comet Lake,Core i7-10700,8,16,2.9,4.8
Core Ultra X9 388H,,Panther Lake,Core Ultra X9 388H,16,16,2.1,5.1
Ryzen 5 4600H,,Renoir,Ryzen 5 4600H,6,12,3.0,4.0
